Paper Title,Contributors
"Weeds Classification with Deep Learning: An Investigation Using CNN, Vision Transformers, Pyramid Vision Transformers, and Ensemble Strategy",Lumini A.
A Generative Approach to Person Reidentification,"Asperti, Andrea; Fiorilla, Salvatore; Orsini, Lorenzo"
Relativistic Digital Twin: Bringing the IoT to the future,"Sciullo, Luca; Trotta, Angelo; Montori, Federico; Bononi, Luciano; Di Felice, Marco"
Dynamic Execution of Engineering Processes in Cyber-Physical Systems of Systems Toolchains,"Montori, Federico
"
CACHE-IT: A distributed architecture for proactive edge caching in heterogeneous IoT scenarios,"Zyrianoff, Ivan
; Gigli, Lorenzo; Montori, Federico; Sciullo, Luca; Di Felice, Marco"
Revelio: Interpretable Long-Form Question Answering,Gianluca Moro; Luca Ragazzi; Lorenzo Valgimigli
Evaluation of Expressing without asserting approaches in RDF. The case of Conjectures,Valentina Pasqual; Eduart Uzeir; Francesca Tomasi; Fabio Vitali
Enabling Federated Learning at the Edge through the IOTA Tangle,"Mazzocca, Carlo; Romandini, Nicolò; Montanari, Rebecca; Bellavista, Paolo"
SpatialSSJP: QoS-Aware Adaptive Approximate Stream-Static Spatial Join Processor,"Jawarneh, Isam Mashhour Al; Bellavista, Paolo; Corradi, Antonio; Foschini, Luca; Montanari, Rebecca"
Achieving Complete Coverage with Hypercube-Based Symbolic Knowledge-Extraction Techniques,Calegari R.
"CAGI, the Critical Assessment of Genome Interpretation, establishes progress and prospects for computational genetic variant interpretation methods","Bromberg, Yana; Turina, Paola; Capriotti, Emidio; Carter, Hannah; Babbi, Giulia; Bovo, Samuele; Di Lena, Pietro; Martelli, Pier Luigi; Savojardo, Castrense; Casadio, Rita; Fariselli, Piero; Bellazzi, Riccardo; Zhang, Jing"
Train your attention and executive functions with Eye-Riders! A videogame for improving cognitive abilities in neurodiverse children,Mariagrazia Benassi; Davide Paolillo; Matilde Spinoso; Sara Giovagnoli; Luca Formica; Gianni Tumedei; Catia Prandi
Hybrid Models for Knowledge Tracing: A Systematic Literature Review,"Zanellati, Andrea; Gabbrielli, Maurizio; Levrini, Olivia"
