Paper Title,Contributors
INFORM: A Tool for Classification and Semantic Annotation of IoT Datastreams,Montori F.
Two-way Integration of Service-Oriented Systems-of-Systems with the Web of Things,Ivan Dimitry Ribeiro Zyrianoff; Gigli L.; Montori F.; Di Felice M.
IoT End-User Service Composition via a Visual Programming Interface,Montori F.; Bedogni L.
Energy and congestion aware routing based on hybrid gradient fields for wireless sensor networks,Bellavista P.
Toward Energy-Efficient Distributed Federated Learning for 6G Networks,"Bellavista, Paolo"
Air quality and comfort characterisation within an electric vehicle cabin,Russi L.; Guidorzi P.; Pulvirenti B.; Semprini G.; Aguiari D.; Pau G.
Elastic Provisioning of Stateful Telco Services in Mobile Cloud Networking,Bellavista P.; Corradi A.; Foschini L.; Zanni A.
Efficient QoS-Aware Spatial Join Processing for Scalable NoSQL Storage Frameworks,Bellavista P.; Corradi A.; Foschini L.; Montanari R.
PrioDeX: A Data Exchange Middleware for Efficient Event Prioritization in SDN-Based IoT Systems,"Scalzotto, Luca; Bellavista, Paolo"
Efficient and Privacy Preserving Video Transmission in 5G-Enabled IoT Surveillance Networks: Current Challenges and Future Directions,Bellavista P.
Efficient Security and Authentication for Edge-Based Internet of Medical Things,Bellavista P.
"Defining the Behavior of IoT Devices through the MUD Standard: Review, Challenges, and Research Directions",Feraudo A.; Bellavista P.
A Graphical Conceptual Model for Conventional and Time-varying JSON Data,Grandi Fabio
Aggregate centrality measures for IoT-based coordination,Pianini D.; Viroli M.
Adaptive distributed monitors of spatial properties for cyber–physical systems,Casadei R.; Viroli M.
A programming approach to collective autonomy,Casadei R.; Aguzzi G.; Viroli M.
Optimal resilient distributed data collection in mobile edge environments,Casadei R.; Pianini D.; Viroli M.
Time-Fluid Field-Based Coordination through Programmable Distributed Schedulers,"Pianini, Danilo; Casadei, Roberto; Viroli, Mirko"
Fostering resilient execution of multi-agent plans through self-organisation,Casadei R.
Towards Integration of Multi-Agent Planning with Self-Organising Collective Processes,Casadei R.
A Session Subtyping Tool,Bacchiani L.; Bravetti M.; Zavattaro G.
Preference queries over taxonomic domains,Ciaccia P.
"The POOR-MAD approach: Preferred objects over rich, multi-attribute data",Ciaccia P.
SketchyDepth: From Scene Sketches to RGB-D Images,Berardi G.; Salti S.; Di Stefano L.
"Mobilità, infrastrutture e just in time economy.
L’integrazione logistica europea e lo spazio di flussi tedesco.",mattia frapporti
LABOUR AND TECHNOLOGY IN CAPITALISM 4.0. AN INTERVIEW WITH URSULA HUWS,mattia frapporti; maurilio pirone
Lagrangian Duality for Constrained Deep Learning,"Van Hentenryck P.
; Baldo F.
; Lombardi M.
"
Injecting Domain Knowledge in Neural Networks: A Controlled Experiment on a Constrained Problem,Silvestri M.; Lombardi M.; Milano M.
Teaching the Old Dog New Tricks: Supervised Learning with Constraints,"Michele Lombardi
; Michela Milano
"
Contrastive Losses and Solution Caching for Predict-and-Optimize,Michele Lombardi
Testing the scalability of the HS-AUTOFIT tool in a high-performance computing environment,"Di Modica G.
; Evangelisti L.; Foschini L.; Maris A.; Melandri S."
Demonstration of Digital Twins for 5G Connectivity in Industry 4.0,"Contoli, Chiara

; Rossi, Daniele
; Tontini, Giacomo; Borsatti, Davide
; Callegati, Franco
"
SDN-based Differentiated Traffic Flow Management for Industrial Internet of Things Environments,"Callegati F.

; Campi A.; Contoli C.; Di Santi S.; Ghiselli N.; Pernafini A."
Measuring the impact of COVID-19 restrictions on mobility: A real case study from Italy,"Bujari, Armir; Foschini, Luca; Di Modica, Giuseppe; Bellavista, Paolo"
Editorial for this SI on “Location Based Services and Applications in the era of Internet of Things”,Bellavista P.; Musolesi M.
Qos‐aware approximate query processing for smart cities spatial data streams,Bellavista P.; Corradi A.; Foschini L.; Montanari R.
Interoperable blockchains for highly-integrated supply chains in collaborative manufacturing,Bellavista P.; Foschini L.; Montanari R.
Source Code Classification for Energy Efficiency in Parallel Ultra Low-Power Microcontrollers,"Parisi E.
; Barchi F.; Bartolini A.; Tagliavini G.; Acquaviva A."
The geometry of Bayesian programming,Dal Lago U.
"Differential logical relations, part II increments and derivatives",Dal Lago U.; Gavazzo F.
On Counting Propositional Logic and Wagner's Hierarchy,Antonelli M.; Dal Lago U.; Pistone P.
Non Verbal Communication in  Engineering-An Empirical Study,Ciancarini P.; Succi G.
"SeDaSOMA: A Framework for Supporting Serendipitous, Data-As-A-Service-Oriented, Open Big Data Management and Analytics","Cuzzocrea A.
; Ciancarini P."
Empirical Evaluation of Agile Teamwork,"Ciancarini P.
"
Empirical Research on Customer Communication Challenges in the Companies Adopting Agile Practices,"Succi, Giancarlo; Ciancarini, Paolo"
RefRec: Pseudo-labels Refinement via Shape Reconstruction for Unsupervised 3D Domain Adaptation,Adriano Cardace; Riccardo Spezialetti; Pierluigi Zama Ramirez; Samuele Salti; Luigi Di Stefano
Neural Disparity Refinement for Arbitrary Resolution Stereo,Filippo Aleotti; Fabio Tosi; Pierluigi Zama Ramirez; Matteo Poggi; Samuele Salti; Stefano Mattoccia; Luigi Di Stefano
Metric Learning for Multi-label Classification,"Marco Brighi

; Annalisa Franco
; Dario Maio
Validation"
Toward automated threat modeling of edge computing systems,Mazzocca C.; Montanari R.
Machine Learning insights for behavioural data analysis supporting the Autonomous Vehicles scenario,Mazzocca C.; Bujari A.; Mele V.
An sdn‐enabled architecture for it/ot converged networks: A proposal and qualitative analysis under ddos attacks,Foschini L.; Mignardi V.; Montanari R.; Scotece D.
On the Efficiency of Service and Data Handoff Protocols in Edge Computing Systems,"Scotece, Domenico; Foschini, Luca"
ActivityExplorer: A semi-supervised approach to discover unknown activity classes in HAR systems,"Brighi M.; Franco A.
; Maio D."
Promuovere l’invecchiamento attivo: confronto tra due diversi Training Cognitivi Computerizzati,Mauro Gaspari; Sara Zuppiroli
Comparison of the effects of attentional computerized training program and multi-domain exergame training on cognitive functioning of healthy older adults,Mauro Gaspari
MIINT: Middleware for IIoT Platforms Integration,"Riccardo Venanzi

; Alberto Cavalucci; Luca Foschini; Paolo Bellavista"
A digital twin decision support system for the urban facility management process,Bujari A.; Calvio A.; Foschini L.; Sabbioni A.; Corradi A.
IPPODAMO: A digital twin support for smart cities facility management,Bujari A.; Calvio A.; Foschini L.; Sabbioni A.; Corradi A.
Location Dynamic Tabu Routing Protocol for MANETs,"Bujari, Armir
"
Are Remote Play Streaming Systems Doomed to Fail? A Network Perspective,"A. Bujari
"
An ETSI NFV Implementation for Automatic Deployment and Configuration of a Virtualized Mobile Core Network,"A. Bujari
"
"WHAT IS IN THE MIRROR? ON MIRROR SELF-RECOGNITION, SEMIOTICS AND MATERIAL ENGAGEMENT","Lobaccaro, L; Bacaro, M"
"Book Forum: On Maria Danae Koukouti, Lambros Malafouris, “An Anthropological Guide to the Art and Philosophy of Mirror Gazing”, London, Bloomsbury Publishing, 2020, pp. 200",Claudio Paolucci; Luigi Lobaccaro; Martina Bacaro
Performance Evaluation of 3D Descriptors Paired with Learned Keypoint Detectors,"Spezialetti, Riccardo; Salti, Samuele
; Di Stefano, Luigi"
Towards Long-term Non-invasive Monitoring for Epilepsy via Wearable EEG Devices,Tabanelli E.; Tagliavini G.; Benini L.; Benatti S.
Communication-Efficient Heterogeneous Federated Dropout in Cross-device Settings,"Bellavista, Paolo; Foschini, Luca; Mora, Alessio"
"Optimal Deployment of Fog Nodes, Microservices and SDN Controllers in Time-Sensitive IoT Scenarios","Bellavista, Paolo; Foschini, Luca"
Efficiently Integrating Mobility and Environment Data for Climate Change Analytics,AL JAWARNEH ISAM MASHHOUR HASAN; Bellavista P.; Corradi A.; Foschini L.; Montanari R.
How mobility and sociality reshape the context: A decade of experience in mobile crowdsensing,Foschini L.
Fog Node Placement in IoT Scenarios with Stringent QoS Requirements: Experimental Evaluation,Bellavista P.; Foschini L.
Context Incorporation Techniques for Social Recommender Systems,AL JAWARNEH ISAM MASHHOUR HASAN; Bellavista P.; Corradi A.; Foschini L.; Montanari R.
Context-Dependent Services Selection in Smart Environments,Foschini L.
RVfplib: A Fast and Compact Open-Source Floating-Point Emulation Library for Tiny RISC-V Processors,Giuseppe Tagliavini; Luca Benini
Learning optical flow from still images,Aleotti F.; Poggi M.; Mattoccia S.
Preserving family album photos with the HoloLens 2,"Stacchio L.; Hajahmadi S.; Marfia G.
"
Academically produced air pollution sensors for personal exposure assessment: The canarin project,Pau G.
Chebyshev Pooling: An Alternative Layer for the Pooling of CNNs-Based Classifier,Pau G.
Near-realtime face mask wearing recognition based on deep learning,Pau G.
ReSPEcT: Privacy respecting thermal based specific person recognition,Pau G.
WoT Micro Servient: Bringing the W3C Web of Things to Resource Constrained Edge Devices,Sciullo L.; Ivan Dimitry Ribeiro Zyrianoff; Trotta A.; Di Felice M.
Performance Analysis of Multi-hop Communication based on 5G Sidelink for Cooperative UAV Swarms,Trotta A.; Di Felice M.
Informing predictive models against Students Dropout,Andrea Zanellati; Stefano Pio Zingaro; Francesca Del Bonifro; Maurizio Gabbrielli; Olivia Levrini; Chiara Panciroli
The Music Note Ontology,"Andrea Poltronieri
; Aldo Gangemi"
Semantic Integration of MIR Datasets with the Polifonia Ontology Network,Valentina Anita Carriero; Fiorela Ciroku; Delfina Sol Martinez Pandiani; Andrea Poltronieri; Valentina Presutti
Interoperability in Open IoT Platforms: WoT-FIWARE Comparison and Integration,"I. D. Zyrianoff
; L. Sciullo; M. Di Felice"
"Integration of AI, IoT and Edge-Computing for Smart Microgrid Energy Management",V. Raffa; M. Di Felice
Tuple-Based Coordination in Large-Scale Situated Systems,Casadei R.; Viroli M.; Ricci A.
Towards Pulverised Architectures for Collective Adaptive Systems through Multitier Programming,Aguzzi G.; Casadei R.; Pianini D.; Viroli M.
Augmented Collective Digital Twins for Self-Organising Cyber-Physical Systems,Casadei R.; Placuzzi A.; Viroli M.
ScaFi-Web: A Web-Based Application for Field-Based Coordination Programming,Aguzzi G.; Casadei R.; Maltoni N.; Pianini D.; Viroli M.
A Soil Moisture Calibration Service for IoT-based Smart Irrigation,I. D. Zyrianoff; T. S. Cinotti; M. Di Felice
A job dispatcher for large and heterogeneous HPC systems running modern applications,Kiziltan Z.
Sensor-guided optical flow,M. Poggi; F. Aleotti; S. Mattoccia
Self-supervised Bernoulli Autoencoders for Semi-supervised Hashing,Stefano Lodi; Claudio Sartori
Platform Labour in Urban Spaces after COVID-19,Maurilio Pirone; Sandro Mezzadra; Mattia Frapporti
From Urban to Platform (and Return): Emerging Time-Spaces,Maurilio Pirone; Mattia Frapporti; Niccolò Cuppini
Platform Battlefield. Digital Infrastructures in Capitalism 4.0,"Cuppini, Niccolò; Frapporti, Mattia; Milesi, Floriano; Pirone, Maurilio"
Per una critica del capitalismo 4.0,Maurilio Pirone; Niccolò Cuppini; Floriano Milesi; Mattia Frapporti
Gendering Logistics. Feminist approaches for the Analysis of Supply-Chain Capitalism,Niccolò Cuppini; Mattia Frapporti; Floriano Milesi; Irene Peano; Maurilio Pirone
OptAGAN: Entropy-based finetuning on text VAE-GAN,"Stefano Lodi
"
A deep learning approach to anthropogenic load assessment for sustainable coastal tourism,Delnevo G.; Mirri S.; Girau R.
Evaluating the practical limitations of TinyML: An experimental approach,Delnevo G.; Prandi C.; Mirri S.
[68Ga]Ga-DOTANOC PETICT & radiomics: Potential role in discriminating tumor grade in well-differentiated primary pancreatic neuroendocrine tumors,Diletta Calabrò; Alessandro Bevilacqua; Silvia Malavasi; Claudio Ricci; Riccardo Casadei; Davide Campana; Stefano Fanti; Valentina Ambrosini
[68Ga]Ga-DOTANOC PET/CT Derived Radiomic Features Can Discriminate Pancreatic Neuroendocrine Tumours from Accessory Spleens: Preliminary Results,Giulia Argalia; Silvia Malavasi; Emilia Fortunati; Diletta Calabrò; Davide Campana; Riccardo Casadei; Claudio Ricci; Alessandro Bevilacqua; Stefano Fanti; Valentina Ambrosini
An Agent Supporting Symptom Elicitation in Physician-Patient Dialogue,Lanciotti Marco; Sartori Claudio
Modular coinduction up-to for higher-order languages via first-order transition systems,Sangiorgi D.
Promoting a safe return to university campuses during the COVID-19 pandemic: Crowdsensing room occupancy,Tumedei G.; Prandi C.
Fostering user's awareness about indoor air quality through an IoT-enabled home garden system,Ceccarini C.; Prandi C.
SMARTLAGOON: Innovative modelling approaches for predicting socio-environmental evolution in highly anthropized coastal lagoons,Prandi C.
Can 360° VR and customization foster personal connections between tourists and locals? An experiment in the sharing economy and hospitality frame,Prandi C.; Ceccarini C.
Tailored performance dashboards—an evaluation of the state of the art,Succi G
Exploring research hypotheses in green computing,Succi G
Meta-analytical Comparison Of SVM and KNN for Text Classification,Succi G
Modern Code Reviews: Preliminary Results of an Analysis of the State of the Art with Respect to the Role Played by Human Factors,Succi G
Musical Practices in  Development: Insights from Gary Marcus’ Guitar Zero,Succi G
Toward Understanding Personalities Working on Computer: A Preliminary Study Focusing on Collusion/Plagiarism,Succi G
Fundamental Contemplation on the Adequacy of the Analysis of Brain Waves: Case of EEG,Succi G
Towards the No-Code Era: A Vision and Plan for the Future of  Development,Succi G
Systematizing the Meta-Analytical Process in  Engineering,Succi G
The Pareto Distribution of  Features and No-Code,Succi G
Systemic Theory for  Teams: A Perspective,Succi G
Using Tools for the Analysis of the Mental Activity of Programmers,Succi G
Incorporating energy efficiency measurement into CI - CD pipeline,Succi G
Predicting Type Annotations for Python using Embeddings from Graph Neural Networks,Succi G
A Browser Extension to Facilitate Language Acquisition,Succi G
Root Causes Of Interaction Issues In Agile  Development Teams - Status and Perspectives,Ciancarini P; Succi G
Burden of persuasion in argumentation: A meta-argumentation approach,Giuseppe Pisano; Roberta Calegari; Andrea Omicini; Giovanni Sartor
The HaMSE Ontology: Using Semantic Technologies to support Music Representation Interoperability and Musicological Analysis,Andrea Poltronieri; Aldo Gangemi
Survivable zero trust for cloud computing environments,"Colajanni, M"
On Higher-Order Probabilistic Subrecursion,Ugo Dal Lago
The Digital WHOmanities Project: Best Practices for Digital Pedagogy in the Pandemic Era,Anna Sofia Lippolis; Lucia Giagnolini; Carlo Teo Pedretti; Eleonora Peruch; Giulia Renda; Mattia Spadoni
Phenomena Explanation from Text: Unsupervised Learning of Interpretable and Statistically Significant Knowledge,Giacomo Frisoni; Gianluca Moro
BCNC 2021: Proceedings of the 1st ACM SIGPLAN International Workshop on Beyond Code: No Code,Succi G.
Making accessibility accessible: strategy and tools,Rubano Vincenzo; vitali fabio
"Digitalisation, labour and the pandemic: Working life in the post-COVID-19 city",Mattia Frapporti
Metodo e Sistema per il Monitoraggio dell'Umidità del Suolo,Francia Matteo; Golfarelli Matteo; Giovanelli Joseph; Gallinucci Enrico; Baldi Elena; Quartieri Maurizio; Toselli Moreno
What changed in the Italian internal medicine and geriatric wards during the lockdown,Tettamanti M.; Pietrangelo A.; Corazza G. R.; Prisco D.; Silvestri E.; Mattioli I.; Vanoli M.; Barbagallo M.; Natoli G.; Orio G.; Magnolfi E.; Palasciano G.; Pisati M.; Nobili G.; Leoncini G.; Anastasio L.; Bleve M. A.; de Giorgi A.; Ianniello E.; Bragagni A.; Fenoglio L.; Sanino M.; Lancellotti G.; Perticone M.; Stanghellini V.; Damiani G.; Martino G. P.; Pettinari P.; Marigliano B.; Gennaro A.; Gaudio A.; Vigorito C.; Dassi S.; Piccinelli V.; Castello R.; Artoni A.; Montalto G.; Di Quattro R.; Bellan M.; Tarquini R.; Harari S.; Napoli F.
Editoriale: Il Medioevo è negli occhi di chi guarda,fabrizio de falco; laura righi; mattia frapporti
Radiomic Model Discriminating Low Grade Pancreatic Neuroendocrine Tumours Assessed by Biopsy of the Primary Lesion,"Argalia, G; Fortunati, E; Calabrò, D; Malavasi, S; Campana, D; Casadei, R; Ricci, C; Bevilacqua, A; Fanti, S; Ambrosini, V"
SMD-Nets: Stereo Mixture Density Networks,"Tosi F.
"
Computing Curricula 2020,Paolo Ciancarini
"Finance, Regulations, Politics and Market Design",De Filippo A.; Lombardi M.; Milano M.; Madani M.
Production and Demand Management,De Filippo A.; Lombardi M.; Milano M.
Towards ‘up to context’ reasoning about higher-order processes,Durier A.; Sangiorgi D.
Hierarchical embedding for DAG reachability queries,"Bertini, Flavio; Montesi, Danilo"
An Open Source Environment for an Agile Development Model,"Ciancarini P.
; Poggi F."
Real-time tracking and documentation in trauma management,"Montagna, Sara; Croatti, Angelo; Ricci, Alessandro; Agnoletti, Vanni"
FlexFloat: A  Library for Transprecision Computing,"Tagliavini, Giuseppe; Marongiu, Andrea; Benini, Luca"
Intelligent and Good Machines? The Role of Domain and Context Codification,Delnevo G.; Roccetti M.; Mirri S.
Smart Campus: Fostering the Community Awareness Through an Intelligent Environment,"Prandi, Catia; Monti, Lorenzo; Ceccarini, Chiara; Salomoni, Paola"
A Model-Driven Approach to Automate Data Visualization in Big Data Analytics,Matteo Golfarelli; Stefano Rizzi
Smart Contracts are More than Objects: Pro-activeness on the Blockchain,Giovanni Ciatto; Andrea Omicini
Implicit JSON Schema Versioning Driven by Big Data Evolution in the τJSchema Framework,"Grandi, Fabio"
"1st International Congress on Blockchain and Applications, BLOCKCHAIN 2019",Ferretti S.
Generating synthetic positive and negative business process traces through abduction,Loreti D.; Chesani F.; Ciampolini A.; Mello P.
Deep water: Predicting water meter failures through a human-machine intelligence collaboration,Casini L.; Delnevo G.; Roccetti M.; Zagni N.; Cappiello G.
Concept Integration to Develop Next Generation of Technology-Enhanced Learning Systems,Antonella Carbonaro
An exact method for shrinking pivot tables,"Boschetti M. A.; Golfarelli M.; GRAZIANI, SIMONE"
Semiautomatic Labeling for Deep Learning in Robotics,"De Gregorio, Daniele; Tonioni, Alessio; Palli, Gianluca; Di Stefano, Luigi"
SUV95th as a reliable alternative to SUVmax for determining renal uptake in 68Ga-PSMA PET/CT,"Serena Baiocco; Federica Matteucci; Paola Caroli; Alessandro Bevilacqua; PAGANELLI, GIOVANNI"
Towards ECentric Interaction: Urban Playful Interventions in the Anthropocene,"Prandi, Catia"
Therapy-driven Deep Glucose Forecasting,Lisanti G.
Conversion of XML schema design styles with StyleVolution,Grandi F.
Storytelling and remote-sensing playful interventions to foster biodiversity awareness,"Prandi, Catia"
Virtual Environments as Enablers of Civic Awareness and Engagement,Paolo Bellavista; Antonio Corradi; Luca Foschini; Elena Lamberti; Marco Torello
Parallelizing Machine Learning as a service for the end-user,"Loreti, Daniela; Torroni, Paolo"
On the Ethereum blockchain structure: A complex networks theory perspective,Ferretti S.; D'Angelo G.
Parallel Data Distribution Management on Shared-Memory Multiprocessors,Moreno Marzolla; Gabriele D'Angelo
"Continual learning for robotics: Definition, framework, learning strategies, opportunities and challenges","Lomonaco, Vincenzo; Maltoni, Davide"
Blockchain-Based Coordination: Assessing the Expressive Power of Smart Contracts,Giovanni Ciatto; Andrea Omicini
AccaSim: a customizable workload management simulator for job dispatching research in HPC systems,Galleguillos C.; Kiziltan Z.; Netti A.
Confidence Estimation for ToF and Stereo Sensors and Its Application to Depth Data Fusion,"Poggi, Matteo; Tosi, Fabio; Mattoccia, Stefano"
Unsupervised Domain Adaptation for Depth Prediction from Images,"Tonioni, Alessio; Poggi, Matteo; Mattoccia, Stefano; Di Stefano, Luigi"
A machine learning approach to online fault classification in HPC systems,"Zeynep Kiziltan
; Ozalp Babaoglu; Andrea Bartolini; Andrea Borghesi"
Neural-Symbolic Argumentation Mining: An Argument in Favor of Deep Learning and Reasoning,"Galassi, Andrea; Lippi, Marco; Torroni, Paolo"
A mdal approach for human activity recognition based on skeleton and RGB data,"Franco, Annalisa; Magnani, Antonio; Maio, Dario"
Ensemble of Deep Learning Approaches for ATC Classification,Lumini A.
Summarization and Visualization of Multi-Level and Multi-Dimensional Itemsets,Matteo Francia; Matteo Golfarelli; Stefano Rizzi
METHYLATION CHALLENGES & OPPORTUNITIES FOR BIOMARKERS IDENTIFICATION – FOCUS ON IMPUTATION,P. Di Lena; Claudia Sala; Christine Nardini
"The Big Data era in IoT-enabled smart farming: Re-defining systems, tools, and techniques",Bellavista P.
AI reflections in 2019,"Torroni, Paolo; Floridi, Luciano"
The Force Awakens: Artificial Intelligence for Consumer Law,"Contissa, Giuseppe; Lagioia, Francesca; Sartor, Giovanni; Torroni, Paolo"
Preface,"Torroni, Paolo"
Learning a confidence measure in the disparity domain from O(1) features,"Poggi, Matteo; Tosi, Fabio; Mattoccia, Stefano"
Real-Time RGB-D Camera Pose Estimation in Novel Scenes using a Relocalisation Cascade,"Cavallari, Tommaso; Di Stefano, Luigi"
Foundations of Context-aware Preference Propagation,Ciaccia P.
The practice of self-citations: a longitudinal study,"Peroni, Silvio; Ciancarini, Paolo; Gangemi, Aldo; Nuzzolese, Andrea Giovanni; Poggi, Francesco; Presutti, Valentina"
Twenty years of coordination technologies: COORDINATION contribution to the state of art,Giovanni Ciatto; Andrea Omicini
Logic-based Technologies for Intelligent Systems: State of the Art and Perspectives,Roberta Calegari; Giovanni Ciatto; Enrico Denti; Andrea Omicini
Ensuring Personal Data Anonymity in Data Marketplaces through Sensing-as-a-Service and Distributed Ledger,Mirko Zichichi; Stefano Ferretti
Privacy Perception when Using Smartphone Applications,Mirri S.; Prandi C.
An engine for social-ecological risk analysis and NBS recommendation to support risk mitigation management,"Leo, Laura S.; Bertini, Flavio; Montesi, Danilo; Di Sabatino, Silvana"
A Geospatial Information Knowledge Platform for NBS tackling hydro-meteorological hazards: key features and innovative aspects,"Leo, Laura S.; Bertini, Flavio; Montesi, Danilo; Di Sabatino, Silvana"
INSPIRE in the context of Nature-Based Solutions,Laura Sandra Leo; Flavio Bertini; Danilo Montesi; Silvana Di Sabatino
Shared Images and Camera Fingerprinting May Lead to Privacy Issues.,Rahimeh Rouhi; Flavio Bertini; Danilo Montesi
Designing human-centric  artifacts with future users: a case study,M. Roccetti; C. Prandi; S. Mirri; P. Salomoni
A Cautionary Tale for Machine Learning Design: why we Still Need Human-Assisted Big Data Analysis,Roccetti M.; Delnevo G.; Casini L.; Salomoni P.
On the probabilistic mind of a robot,M. Roccetti; L. Casini; G. Delnevo
A visual immersive participatory platform to foster dialogue between locals and tourists,"Prandi, Catia"
The use of social media in EU policy communication and implications for the emergence of a European public sphere,Vitaliano Barberio; Edoardo Mollona; Luca Pareschi
European Cohesion Policy performance and citizens’ awareness: A holistic System Dynamics framework,Cunico G.; Aivazidou E.; Mollona E.
A radiomic signature for detecting prostate cancer with multi-parametric MRI,Margherita Mottola; Giampaolo Gavelli; Alessandro Bevilacqua
Predicting clinical evolution of prostate cancer in active surveillance: early suggestions from DW-MRI,Alessandro Bevilacqua; Margherita Mottola; Giampaolo Gavelli
Special Issue on Cryptocurrencies and Blockchains for Distributed Systems,Ferretti S.; D'Angelo G.
Foreword to the special issue on cryptocurrencies and blockchains for distributed systems,Ferretti S.; D'Angelo G.
A Distributed Ledger Based Infrastructure for Smart Transportation System and Social Good,"Zichichi, Mirko; Ferretti, Stefano; D'Angelo, Gabriele"
Evaluation of pre-processing on the meta-analysis of DNA methylation data from the Illumina HumanMethylation450 BeadChip platform,Sala C.; Di Lena P.; Castellani G.; Nardini C.
OLAP Querying of Document Stores in the Presence of Schema Variety,Matteo Francia; Enrico Gallinucci; Matteo Golfarelli; Stefano Rizzi
The Tell-Tale Cube,Matteo Francia; Stefano Rizzi
iProStruct2D: Identifying protein structural classes by deep learning via 2D representations,Lumini Alessandra
Stochastic selection of activation layers for convolutional neural networks,Lumini Alessandra
Radiomics in DW-MRI detects non-clinically significant prostate cancer and reduces overtreatment,Alessandro Bevilacqua; Margherita Mottola
Diffusion weighted imaging in prostate cancer: a descriptor of tumour habitat differentiates high-risk and low-risk lesions,Alessandro Bevilacqua; Margherita Mottola
Risk stratification of patients with prostate cancer: promising results with high b-value DWI radiomic features,Margherita Mottola; Alessandro Bevilacqua
Prostate cancer heterogeneity in high b-value DWI correlates with [68Ga]-PSMA PET/CT: preliminary results,Margherita Mottola; Alessandro Bevilacqua
mpMRI detection of suspected prostate cancer with a negative biopsy: can radiomic features help radiologists?,Alessandro Bevilacqua; Margherita Mottola
Enabling smart learning systems within smart cities using open data,Antonella Carbonaro
Combining learning and optimization for transprecision computing,"Borghesi, Andrea; Tagliavini, Giuseppe; Lombardi, Michele; Benini, Luca; Milano, Michela"
 tools for 3D nuclei segmentation and quantitative analysis in multicellular aggregates,Filippo Piccinini; Antonella Carbonaro
Linkages and channels between Cohesion Policy and European Identity,"Mollona, E."
Auctions vs. negotiations in vertically related markets,"Bacchiega, Emanuele"
A-BI+: A Framework for Augmented Business Intelligence,Matteo Francia; Matteo Golfarelli; Stefano Rizzi
Enabling mixed-precision quantized neural networks in extreme-edge devices,Nazareno Bruschi; Angelo Garofalo; Francesco Conti; Giuseppe Tagliavini; Davide Rossi
Towards conversational OLAP,Francia M.; Gallinucci E.; Golfarelli M.
Evolving always‐critical networks,Roli Andrea
A Framework Based on Distributed Ledger Technologies for Data Management and Services in Intelligent Transportation Systems,Zichichi Mirko; Ferretti Stefano; D'Angelo Gabriele
Fast Session Resumption in DTLS for Mobile Communications,D'Angelo G.; Ferretti S.; Ghini V.
Crawling in Rogue's Dungeons With Deep Reinforcement Techniques,"Asperti, Andrea; Sovrano, Francesco"
Blue whale street art as a landmark: extracting landmarks from children's cognitive maps for the design of locative systems,"Prandi, Catia"
Do Conversational Interfaces Kill Web Accessibility?,Mirri S.; Prandi C.
Almawhere 2.0: A pervasive system to facilitate indoor wayfinding,Delnevo G.; Mambelli G.; Rubano V.; Prandi C.; Mirri S.
Chaos and ergodicity are decidable for linear cellular automata over (Z/mZ)n,"Margara, Luciano"
Dynamical behavior of additive cellular automata over finite abelian groups,"Margara, Luciano"
A Variational Algorithm for Quantum Neural Networks,"Macaluso, Antonio; Clissa, Luca; Lodi, Stefano; Sartori, Claudio"
From Linear to Additive Cellular Automata,Luciano Margara
Super-resolution of thermal images using an automatic total variation based method,Cascarano P.; Corsini F.; Gandolfi S.; Loli Piccolomini E.; Mandanici E.; Tavasci L.; Zama F.
TRANSPIRE: An energy-efficient TRANSprecision floating-point Programmable archItectuRE,"Prasad, Rohit; Das, Satyajit; Tagliavini, Giuseppe; Benini, Luca; Rossi, Davide"
XpulpNN: Accelerating Quantized Neural Networks on RISC-V Processors Through ISA Extensions,"Garofalo, Angelo; Tagliavini, Giuseppe; Conti, Francesco; Rossi, Davide; Benini, Luca"
Rete e servizi: tra criticità e scenari futuri,"M. Prandini
; F. Callegati"
Enabling Image-Based Streamflow Monitoring at the Edge,"Tosi, Fabio; Aleotti, Filippo; Poggi, Matteo; Mattoccia, Stefano; Toth, Elena"
Countdown Slack: A Run-Time Library to Reduce Energy Footprint in Large-Scale MPI Applications,"Cesarini, Daniele; Bartolini, Andrea; Borghesi, Andrea; Benini, Luca"
Good cues to learn from scratch a confidence measure for passive depth sensors,"Poggi, Matteo; Tosi, Fabio; Mattoccia, Stefano"
Beyond the EU Structural Funds’ Absorption Rate: How Do Regions Really Perform?,Aivazidou E.; Cunico G.; E. Mollona.
A Probabilistic Model for the Deployment of Human-Enabled Edge Computing in Massive Sensing Scenarios,Chessa S.; Foschini L.; Girolami M.
Optimization strategies for the selection of mobile edges in hybrid crowdsensing architectures,Corradi A.; Foschini L.
A Pre-Filtering Approach for Incorporating Contextual Information into Deep Learning Based Recommender Systems,AL JAWARNEH ISAM MASHHOUR HASAN; Bellavista P.; Corradi A.; Foschini L.; Montanari R.
A mobile sensing and visualization platform for environmental data,Armir Bujari
Addressing the Bandwidth Demand of Immersive Applications Through NFV in a 5G Network,"Bujari, Armir"
"Method for determining the confidence of a disparity map through a self-adaptive learning of a neural network, and sensor system thereof",Matteo Poggi; Filippo Aleotti; Fabio Tosi; Stefano Mattoccia
Learning end-to-end scene flow by distilling single tasks knowledge,F. Aleotti; M. Poggi; F. Tosi; S. Mattoccia
Real-Time Semantic Stereo Matching,M. Poggi; S. Mattoccia
