Source,Target,Attributes
"PIANCASTELLI, GIULIO","OMICINI, ANDREA",{'weight': 0.25}
"PIANCASTELLI, GIULIO","DENTI, ENRICO",{'weight': 0.15}
"PIANCASTELLI, GIULIO","RICCI, ALESSANDRO",{'weight': 0.15}
"PIANCASTELLI, GIULIO","VIROLI, MIRKO",{'weight': 0.1}
"OMICINI, ANDREA","DENTI, ENRICO",{'weight': 1.4}
"OMICINI, ANDREA","RICCI, ALESSANDRO",{'weight': 3.1}
"OMICINI, ANDREA","VIROLI, MIRKO",{'weight': 4.15}
"RICCI, ALESSANDRO","VIROLI, MIRKO",{'weight': 3.05}
"RICCI, ALESSANDRO","DENTI, ENRICO",{'weight': 0.55}
"DENTI, ENRICO","VIROLI, MIRKO",{'weight': 0.15}
