Source,Target,Attributes
"OMICINI, ANDREA","RICCI, ALESSANDRO",{'weight': 3.1}
"OMICINI, ANDREA","VIROLI, MIRKO",{'weight': 4.15}
"OMICINI, ANDREA","OLIVA, ENRICO",{'weight': 0.65}
"OMICINI, ANDREA","GARDELLI, LUCA",{'weight': 0.55}
"RICCI, ALESSANDRO","VIROLI, MIRKO",{'weight': 3.05}
"RICCI, ALESSANDRO","GARDELLI, LUCA",{'weight': 0.15}
"RICCI, ALESSANDRO","OLIVA, ENRICO",{'weight': 0.25}
"GARDELLI, LUCA","VIROLI, MIRKO",{'weight': 0.9}
"GARDELLI, LUCA","OLIVA, ENRICO",{'weight': 0.15}
"OLIVA, ENRICO","VIROLI, MIRKO",{'weight': 0.65}
