Source,Target,Attributes
"OMICINI, ANDREA","VIROLI, MIRKO",{'weight': 4.15}
"OMICINI, ANDREA","MONTAGNA, SARA",{'weight': 0.8}
"OMICINI, ANDREA","MOLESINI, AMBRA",{'weight': 1.35}
"OMICINI, ANDREA","NARDINI, ELENA",{'weight': 0.75}
"OMICINI, ANDREA","CASADEI, MATTEO",{'weight': 0.5}
"MOLESINI, AMBRA","MONTAGNA, SARA",{'weight': 0.05}
"MOLESINI, AMBRA","VIROLI, MIRKO",{'weight': 0.25}
"MOLESINI, AMBRA","CASADEI, MATTEO",{'weight': 0.05}
"MOLESINI, AMBRA","NARDINI, ELENA",{'weight': 0.2}
"MONTAGNA, SARA","VIROLI, MIRKO",{'weight': 1.2}
"MONTAGNA, SARA","CASADEI, MATTEO",{'weight': 0.1}
"MONTAGNA, SARA","NARDINI, ELENA",{'weight': 0.05}
"NARDINI, ELENA","VIROLI, MIRKO",{'weight': 0.35}
"NARDINI, ELENA","CASADEI, MATTEO",{'weight': 0.15}
"VIROLI, MIRKO","CASADEI, MATTEO",{'weight': 1.45}
