Source,Target,Attributes
"OLIVA, ENRICO","OMICINI, ANDREA",{'weight': 0.65}
"OLIVA, ENRICO","VIROLI, MIRKO",{'weight': 0.65}
"OLIVA, ENRICO","RICCI, ALESSANDRO",{'weight': 0.25}
"OLIVA, ENRICO","GARDELLI, LUCA",{'weight': 0.15}
"VIROLI, MIRKO","RICCI, ALESSANDRO",{'weight': 3.05}
"VIROLI, MIRKO","OMICINI, ANDREA",{'weight': 4.15}
"VIROLI, MIRKO","GARDELLI, LUCA",{'weight': 0.9}
"GARDELLI, LUCA","OMICINI, ANDREA",{'weight': 0.55}
"GARDELLI, LUCA","RICCI, ALESSANDRO",{'weight': 0.15}
"OMICINI, ANDREA","RICCI, ALESSANDRO",{'weight': 3.1}
