Source,Target,Attributes
"RUBINO, ROSSELLA","DENTI, ENRICO",{'weight': 0.2}
"RUBINO, ROSSELLA","OMICINI, ANDREA",{'weight': 0.1}
"RUBINO, ROSSELLA","MOLESINI, AMBRA",{'weight': 0.05}
"RUBINO, ROSSELLA","RICCI, ALESSANDRO",{'weight': 0.05}
"DENTI, ENRICO","OMICINI, ANDREA",{'weight': 1.4}
"DENTI, ENRICO","MOLESINI, AMBRA",{'weight': 0.95}
"DENTI, ENRICO","RICCI, ALESSANDRO",{'weight': 0.55}
"MOLESINI, AMBRA","OMICINI, ANDREA",{'weight': 1.35}
"MOLESINI, AMBRA","RICCI, ALESSANDRO",{'weight': 0.2}
"OMICINI, ANDREA","RICCI, ALESSANDRO",{'weight': 3.1}
