Source,Target,Attributes
"DENTI, ENRICO","OMICINI, ANDREA",{'weight': 1.4}
"DENTI, ENRICO","MOLESINI, AMBRA",{'weight': 0.95}
"DENTI, ENRICO","MARIANI, STEFANO",{'weight': 0.05}
"DENTI, ENRICO","RICCI, ALESSANDRO",{'weight': 0.55}
"DENTI, ENRICO","VIROLI, MIRKO",{'weight': 0.15}
"VIROLI, MIRKO","RICCI, ALESSANDRO",{'weight': 3.05}
"VIROLI, MIRKO","OMICINI, ANDREA",{'weight': 4.15}
"VIROLI, MIRKO","MARIANI, STEFANO",{'weight': 0.1}
"VIROLI, MIRKO","MOLESINI, AMBRA",{'weight': 0.25}
"MOLESINI, AMBRA","OMICINI, ANDREA",{'weight': 1.35}
"MOLESINI, AMBRA","MARIANI, STEFANO",{'weight': 0.05}
"MOLESINI, AMBRA","RICCI, ALESSANDRO",{'weight': 0.2}
"MARIANI, STEFANO","RICCI, ALESSANDRO",{'weight': 0.05}
"MARIANI, STEFANO","OMICINI, ANDREA",{'weight': 1.35}
"OMICINI, ANDREA","RICCI, ALESSANDRO",{'weight': 3.1}
