Source,Target,Attributes
"OMICINI, ANDREA","DENTI, ENRICO",{'weight': 1.4}
"OMICINI, ANDREA","RICCI, ALESSANDRO",{'weight': 3.1}
"OMICINI, ANDREA","VIROLI, MIRKO",{'weight': 4.15}
"OMICINI, ANDREA","MARIANI, STEFANO",{'weight': 1.35}
"OMICINI, ANDREA","MOLESINI, AMBRA",{'weight': 1.35}
"RICCI, ALESSANDRO","VIROLI, MIRKO",{'weight': 3.05}
"RICCI, ALESSANDRO","MARIANI, STEFANO",{'weight': 0.05}
"RICCI, ALESSANDRO","DENTI, ENRICO",{'weight': 0.55}
"RICCI, ALESSANDRO","MOLESINI, AMBRA",{'weight': 0.2}
"DENTI, ENRICO","MOLESINI, AMBRA",{'weight': 0.95}
"DENTI, ENRICO","MARIANI, STEFANO",{'weight': 0.05}
"DENTI, ENRICO","VIROLI, MIRKO",{'weight': 0.15}
"MOLESINI, AMBRA","MARIANI, STEFANO",{'weight': 0.05}
"MOLESINI, AMBRA","VIROLI, MIRKO",{'weight': 0.25}
"VIROLI, MIRKO","MARIANI, STEFANO",{'weight': 0.1}
