Source,Target,Attributes
"OLIVA, ENRICO","OMICINI, ANDREA",{'weight': 0.65}
"OLIVA, ENRICO","VIROLI, MIRKO",{'weight': 0.65}
"OLIVA, ENRICO","RICCI, ALESSANDRO",{'weight': 0.25}
"OLIVA, ENRICO","NATALI, ANTONIO",{'weight': 0.1}
"VIROLI, MIRKO","RICCI, ALESSANDRO",{'weight': 3.05}
"VIROLI, MIRKO","OMICINI, ANDREA",{'weight': 4.15}
"VIROLI, MIRKO","NATALI, ANTONIO",{'weight': 0.15}
"OMICINI, ANDREA","RICCI, ALESSANDRO",{'weight': 3.1}
"OMICINI, ANDREA","NATALI, ANTONIO",{'weight': 0.05}
"RICCI, ALESSANDRO","NATALI, ANTONIO",{'weight': 0.15}
