Source,Target,Attributes
"CASADEI, MATTEO","MOLESINI, AMBRA",{'weight': 0.05}
"CASADEI, MATTEO","OMICINI, ANDREA",{'weight': 0.5}
"CASADEI, MATTEO","VIROLI, MIRKO",{'weight': 1.45}
"CASADEI, MATTEO","MONTAGNA, SARA",{'weight': 0.1}
"CASADEI, MATTEO","NARDINI, ELENA",{'weight': 0.15}
"OMICINI, ANDREA","VIROLI, MIRKO",{'weight': 4.15}
"OMICINI, ANDREA","MONTAGNA, SARA",{'weight': 0.8}
"OMICINI, ANDREA","MOLESINI, AMBRA",{'weight': 1.35}
"OMICINI, ANDREA","NARDINI, ELENA",{'weight': 0.75}
"MOLESINI, AMBRA","MONTAGNA, SARA",{'weight': 0.05}
"MOLESINI, AMBRA","VIROLI, MIRKO",{'weight': 0.25}
"MOLESINI, AMBRA","NARDINI, ELENA",{'weight': 0.2}
"NARDINI, ELENA","VIROLI, MIRKO",{'weight': 0.35}
"NARDINI, ELENA","MONTAGNA, SARA",{'weight': 0.05}
"MONTAGNA, SARA","VIROLI, MIRKO",{'weight': 1.2}
