Source,Target,Attributes
"OMICINI, ANDREA","DENTI, ENRICO",{'weight': 1.4}
"OMICINI, ANDREA","RICCI, ALESSANDRO",{'weight': 3.1}
"OMICINI, ANDREA","MOLESINI, AMBRA",{'weight': 1.35}
"OMICINI, ANDREA","RUBINO, ROSSELLA",{'weight': 0.1}
"RICCI, ALESSANDRO","DENTI, ENRICO",{'weight': 0.55}
"RICCI, ALESSANDRO","MOLESINI, AMBRA",{'weight': 0.2}
"RICCI, ALESSANDRO","RUBINO, ROSSELLA",{'weight': 0.05}
"RUBINO, ROSSELLA","DENTI, ENRICO",{'weight': 0.2}
"RUBINO, ROSSELLA","MOLESINI, AMBRA",{'weight': 0.05}
"DENTI, ENRICO","MOLESINI, AMBRA",{'weight': 0.95}
