Source,Target,Attributes
"NARDINI, ELENA","MONTAGNA, SARA",{'weight': 0.05}
"GARDELLI, LUCA","VIROLI, MIRKO",{'weight': 0.9}
"GARDELLI, LUCA","OLIVA, ENRICO",{'weight': 0.15}
"OLIVA, ENRICO","VIROLI, MIRKO",{'weight': 0.65}
"OLIVA, ENRICO","NATALI, ANTONIO",{'weight': 0.1}
"CALEGARI, ROBERTA","MARIANI, STEFANO",{'weight': 0.05}
"MONTAGNA, SARA","PIANINI, DANILO",{'weight': 0.75}
"MONTAGNA, SARA","VIROLI, MIRKO",{'weight': 1.2}
"MONTAGNA, SARA","MARIANI, STEFANO",{'weight': 0.05}
"PIANINI, DANILO","VIROLI, MIRKO",{'weight': 1.4}
"PIANINI, DANILO","MARIANI, STEFANO",{'weight': 0.1}
"NATALI, ANTONIO","VIROLI, MIRKO",{'weight': 0.15}
"VIROLI, MIRKO","MARIANI, STEFANO",{'weight': 0.1}
